lang,nx,nt,threads,dt,dx,total time,flops
cxx,1000,100,4,1,1,0.002614,0
cxx,1000,100,4,1,1,0.0039094,0
cxx,1000,100,4,1,1,0.003786,0
cxx,50000,100,4,1,1,0.02449,0
cxx,50000,100,4,1,1,0.023393,0
cxx,50000,100,4,1,1,0.0199203,0
cxx,50000,100,4,1,1,0.0339258,0
cxx,50000,100,4,1,1,0.0244925,0
cxx,50000,100,4,1,1,0.0243301,0
cxx,50000,100,4,1,1,0.0326173,0
cxx,50000,100,4,1,1,0.0329942,0
cxx,50000,100,4,1,1,0.0354058,0
cxx,50000,100,4,1,1,0.0350626,0
cxx,50000,100,4,1,1,0.0300035,0
cuda,50000,100,256,1,1,0.0453222,0.88257
cxx,50000,100,4,1,1,0.0252862,0
cxx,500000,10000,4,1,1,7.48467,0
cuda,500000,10000,256,1,1,0.816188,49.0083
java,50000,100,4,1.0,1.0,0.021532637,0
cxx,100,100,4,1,1,0.00164999,0
cxx,10000,1000,4,1,1,0.0436296,0
cxx,1000000,1000,4,1,1,1.61592,0
cxx,10000,100000,4,1,1,1.84239,0
cxx,1000000,10000,4,1,1,14.0311,0
java,100,100,4,1.0,1.0,0.001173357,0
java,10000,1000,4,1.0,1.0,0.023403199,0
java,1000000,1000,4,1.0,1.0,0.384226048,0
java,10000,100000,4,1.0,1.0,0.499477315,0
java,1000000,10000,4,1.0,1.0,4.064206424,0
cuda,100,100,256,1,1,0.000379891,0.210587
cuda,10000,1000,256,1,1,0.00484636,16.5072
cuda,1000000,1000,256,1,1,0.242872,32.9392
cuda,10000,100000,256,1,1,0.416571,19.2044
cuda,1000000,10000,256,1,1,1.4881,53.76
cxx,50000,100,4,1,1,0.0269876,0
